如何清空实时目的地	如何取消实时目的地设置
接了5单有奖励吗	奖励活动有哪些
我的注册地是哪里	如何查询个人信息
我的注册地是哪里的	如何查询个人信息
星级有什么影响	星级低影响接单和奖励吗
如何取消自动付款	免密支付怎么关闭
4-7星要做多少单上	查询星级与接单数对应列表
半夜加价吗	半夜接单加价标准
问一下，对方叫了快车，我是快车司机，我的车子只核载5人，对方一下子就上来了6个人，还有1个小孩，他们说挤一挤，但是我的车已经超载了，他们又不重新叫一辆，我拒载可以吗	那些情况下可以拒载
我要投诉刚才那个到殡仪馆的剩客！我还没打电话给他！就说我没办法去接他！是他自己取消了订单！	乘客故意取消订单
我刚接两个订单：一个51．8元，一个8．6元，为什么流水只显示47．4元？	流水和金额不一致
我的帐户怎么疯那么久	查询账户被封时长
我的是外地牌照，但是手机号是深圳的，这样的话我的算哪里注册的呢？	外地车牌能注册快车吗
单子发来不到两秒就被取消的事随时发生，怎么办	订单被取消了怎么办
提现211，到账100，什么情况	提现与实际到帐金额不一致
我看到的订单都比较远，是我附近没有订单还是你们没有派送？	看不到附近的订单
我2015年12月24日成功注册成快车司机，活动说在注册成功7天里成功接单8单就奖励新人奖100元，为什么到现在都没发	新人奖什么时候发放
支持日照银行吗？	支持哪些银行
全五星评价。为什么星级为4.7？	星级如何评定
到昨天为止，我的评分是多少呢？	如何查询评分
客服，您好！我有几单是等客户，客户中途取消，或迟到，能否有补偿！	客户中途取消是否有奖励
我是私家车想干快车，专车，怎样办理手续合法	快车如何申请专车
任务奖励在活动结束后多久到账	奖励多久到帐
起亚K3能注册专车吗	注册专车需要什么条件
司机存在可以往近的路线走，但司机却开往远的路走，使费用增加了不少	司机绕远路怎么办
为什么我昨天完成了跑8单任务，没有给新人奖	新人奖没有发放
今天的导航是怎么回事，老是不动呢	导航异常
乘客付不了款是什么情况	乘客可以使用哪些支付方式
客户迟到20余分钟，电话无法打通，我改派，为什么被封闭	乘客迟到
自动接单按键在哪？	怎么自动接单
下错单了，怎取消	怎么取消订单
为什么有乘客反应用微信支付不了	微信支付失败怎么办
申请滴滴快车，对车辆年限的要求是什么？谢谢	加入快车的条件
在活动结束后多久奖励可以到账	奖励到帐时间
你当前使用的版本过低。 请升级到新版。 接单更方便哦 ? ? ?怎样操作到新版？	如何升级版本
4.5,星4.6星4.7级评定是如何出来的?	星级如何评定
我怎么是4.8星呀，昨天还5星呢	星级怎么评定的
客人定位在哪个地方，但是人在另一个地方	定位有问题
我今天的12和14元的奖励都没有到，怎么16元的奖励就到了呢	奖励未到帐
都快一个小时了，也没有订单信息	系统未播报订单
我刚刚接了单，客人关机了联系不了怎么办	客人失联
苏州的车到了上海能接到单吗	异地车牌能接单吗
我的星级跟好评怎么对不起来	星级怎么评定的
奖励多久发	奖励多久到帐
请问我的车为什么不能升为专车，你们对专车用车的审核标准是什么？	升级专车的条件
翻倍奖励第二天就到账户吗	奖励什么时候到帐
想问下如果司机超过5分钟没有过来，该怎么处理	司机迟到怎么处理
已经换了卡	如何更改绑定的银行卡
乘客上车忘记点计费了，下车才点的	忘记计费如何处理
您好，我想询问下江西车牌的车在广东可以接单吗？	异地车牌可以接单吗
现在执法，请问万一被抓，公司会负责不	滴滴专车车辆被扣
请问怎么加盟你们呀	如何加盟滴滴专车
远途费是指多远	远途费是什么及如何添加
我符合新人奖励条件吗？要符合的话，钱什么时候发放	新人奖活动周期
请问为什么我毎天接8一9单成交率还是为0，	成交率怎么计算
明明昨天成交率100%为什么变成93，故意的？	成交率怎么计算
我属于东莞的优选快车，为什么没有抢单模式选择的？只有指派模式	抢单模式是什么
因无法接乘客，故打电话让乘客取消定单，是否会有惩罚	乘客取消理由司机无法来接我
我上次反应的乘客未付车费问题解决的怎样了	乘客未支付
乘客不付款我们还拿到车费不？	乘客未支付
我的2月7日上午9点22分的车费客户已付，我怎么显示未收到？	乘客已经付钱未收到支付消息
滴滴奖牌权益在哪里	什么是奖牌权益
提款一般啥时可以到？	提现到账时间
不开通微信支付能使用顺风车劵吗	顺风车
我昨天跑了2单都是到了地方客户取消订单。能给补偿吗	如何申请补偿
注册城市是指？车辆的归属城市	可以异地注册滴滴打车吗
为什么会把我账户停一天啊！	账号如何解除封禁
乘客取消耗费滴滴师傅往返营运成本，怎么补贴	如何申请补偿
我刚刚指派完成率63%，接了一单之后怎么还变少了？变成61%	怎么计算查询完成率
问你下你们专用水怎样收费	领水多少钱一箱
我上个星期申请的滴滴快车，请问什么时候能通过审核	快车审核时间
我的推荐奖励迟迟不到账怎么了	未收到推荐奖励
我的账户里有220元怎么就能提现50元	提现限制规则
因为上星期二我体现没有成功，说我超额。但是我按提示的金额提的呀	如何提现
乘客取消不算司机的成交率是新规吗	成交率怎么计算
您好 有两个乘客分别是一月二号和一月六号早晨用车，至今未支付，订单里电话也没法联系了，系统也没有通知 我们怎样跟他联系	乘客未支付
用滴滴app预约的专车如何付款	如何支付订单
我是731车主，啥时给奖励？	未收到奖励
拼车时车上坐不下，改派也扣款？	改派有什么处理？
要是被拦住怎么办	滴滴专车车辆被扣
星级服务成为4.8有什么影响吗？	星级低影响接单和奖励吗
一口价为什么有什么高速费	高速费如何处理
家住天津河北牌子，能否在天津接单	异地可以抢单吗
听单为何比别人慢？	抢单提示被抢
当时注册成为快车时，滴滴公司发送帐号与密码过来，但我忘了密码，怎办？	登录密码忘记
您好我想问一下呼伦贝尔地区给师傅的是多少钱一公里	滴滴打车如何计费
我的推荐奖什么时候到账	未收到推荐奖励
31.8元的拼车单，到账怎么只有19元	你们的车费是怎么扣的
没给钱的单你们什么时候能补	乘客未支付
客人五六天不付费可以打电话催车费吗	乘客未支付
我接了个快车单，但因为堵车改派了，被封禁了怎么办	司机无法服务乘客
为什么一口价乘客付款，我收到的比实际付款的还要少？	你们的车费是怎么扣的
您好，我想咨询一下为什么我今天一天跑下来，没奖励	未收到奖励
我今天不早7点到晚9点共做15单！请问是否有奖！	奖励活动有哪些
能先派点单给我，行不	系统未播报订单
短信收到有专属奖励，为什么在滴滴客户端里看不到这个奖励？	奖励短信或者滴滴播报确认
为什么乘车付9.8我只收到7.31	你们的车费是怎么扣的
我的车辆己被运管抓了已经3天了，公司怎么没有人和我联系	滴滴专车车辆被扣
我八点55分的那个单子我在去接乘客的途中，马上要到了然后乘客取消订单为什么没有空驶费给我。	如何申请补偿
怎么出车一天都没有一个订单过来	系统未播报订单
定单地址离我出发地几十公里是什么问题？	接单距离较远
我是滴滴师傅，昨天已经跑满5单以上，为什么今天跑的所有单子没有订单奖励呢	未收到奖励
请问一下。快车的具体收费细则	滴滴打车如何计费
我宁波注册的车，现在回到绵阳，车牌也换为绵阳牌照，要怎么改	如何更改车辆信息
遇到节假日如何收费？	滴滴打车如何计费
前几天滴滴被抓好多	滴滴专车车辆被扣
怎么帐还没到银行卡	提现的时间
我没绑定银行卡，如果客户付款，那钱到哪里去了	如何提现
费用是怎么扣的。去掉油钱加扣的也不剩啥呀？	你们的车费是怎么扣的
我下周没出车，钱包里的钱还可以在提现吗	如何提现
一个单子你们那几个点啊	你们的车费是怎么扣的
被查车了	滴滴专车车辆被扣
对方支付现金	如何支付订单
快车应答后没有上车如何取消订单	如何取消订单
